display_name,variant,splats,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,num_compared_frames
Office Car Crash,frames,10,16.774824146784553,1.2337209592493412,16.702405457873866,14.183127223930551,21.386522192390412,192
Office Car Crash,frames,100,19.94939679554997,0.9740486496676075,19.748381286582692,18.33394505393365,23.529948068878056,192
Office Car Crash,residuals,10,9.57646682863915,0.8771221407263696,9.602847304748302,7.419920372817481,11.755187687270741,192
Office Car Crash,residuals,100,9.000242716996583,0.8059657418433414,9.061626572981659,6.630685796120871,10.697659926085128,192
Patrick,frames,10,20.482111951302272,0.902094487594465,20.535177101933176,14.46412323035032,23.20157568470931,314
Patrick,frames,100,23.10086438450876,0.699066066983947,23.008142727549235,21.41194681538495,25.753223747036316,314
Patrick,frames,1000,24.571044507884874,1.0186350727406754,24.597556604334233,20.267224856436172,27.05275260831717,67
Patrick,residuals,10,9.739621239124457,0.16422467303553198,9.74669323015099,9.352101336781626,10.281171220123177,314
Patrick,residuals,100,9.68102990524857,0.15309326156058353,9.72197115371295,9.262006845241187,10.015228254869024,314
Patrick,residuals,1000,9.682650066394338,0.20495949004048566,9.74299487510243,9.12394564405912,9.923133673220587,68
